cod_ibge,total_familias,renda_media_pc
2109106,1676,220.66408114558473
2109205,183,123.80874316939891
2109239,84,176.96428571428572
2109270,1145,135.7368881118881
2109304,152,164.68421052631578
2109403,225,100.67111111111112
2109452,1176,119.30952380952381
2109502,325,290.9323076923077
2109551,41,207.5121951219512
2109601,1735,188.31815561959655
2109700,83,208.6265060240964
2109759,93,162.8494623655914
2109809,2344,139.2141638225256
2109908,3608,264.33592017738357
2110005,3221,193.46103694504814
2110039,1177,172.34409515717928
2110104,1403,105.3136136849608
2110203,1567,112.82131461391194
2110237,127,77.35433070866142
2110278,172,78.3546511627907
2110302,263,176.1102661596958
2110401,255,89.91764705882353
2110500,2117,109.95606991025035
2110609,1499,100.22348232154769
2110658,130,171.43076923076924
2110708,1705,195.2809384164223
2110807,84,267.1904761904762
2110856,113,178.35398230088495
2110906,185,178.06486486486486
2111003,1509,85.23194168323393
2111029,202,110.60396039603961
2111052,167,234.24550898203591
2111078,291,183.8109965635739
2111102,1294,307.6514683153014
2111201,7957,183.8920447404801
2111250,120,175.275
2111300,35663,233.09892605781903
2111409,290,181.5241379310345
2111508,2099,183.66079085278704
2111532,164,250.5731707317073
2111573,64,299.890625
2111607,232,318.1551724137931
2111631,116,78.23275862068965
2111672,100,37.95
2111706,1409,69.8083747338538
2111722,148,178.59459459459458
2111748,165,145.27878787878788
2111763,109,321.70642201834863
2111789,312,136.1698717948718
2111805,256,112.57421875
2111904,185,139.14054054054054
2111953,96,151.53125
2112001,119,266.05882352941177
2112100,1414,119.93564356435644
2112209,7068,228.40602887064819
2112233,308,235.79545454545453
2112274,111,128.46846846846847
2112308,1560,167.43141025641026
2112407,1859,80.10274341043572
2112456,1504,79.59441489361703
2112506,3073,119.03058900097625
2112605,1711,117.09526592635885
2112704,2288,162.40603146853147
2112803,2916,158.5763293310463
2112852,98,221.6734693877551
2112902,1643,117.82227632379794
2113009,1815,103.36528925619835
2114007,2473,270.95147594015367
2200053,218,174.60550458715596
2200103,193,288.27979274611397
2200202,413,163.12590799031477
2200251,249,233.74698795180723
2200277,148,209.02702702702703
2200301,415,103.19518072289156
2200400,1591,188.79446888749214
2200459,159,211.40880503144655
2200509,563,192.2770870337478
2200608,311,166.69131832797427
2200707,299,199.64882943143812
2200806,73,220.54794520547946
2200905,207,193.87922705314008
2200954,77,98.87012987012987
2201002,163,251.69325153374234
2201051,221,165.31674208144796
2201101,393,93.72264631043257
2201150,314,96.5031847133758
2201176,166,223.13855421686748
2201200,3034,98.58437705998682
2201309,124,178.28225806451613
2201408,252,170.5793650793651
2201507,1679,123.06372840976772
2201556,146,313.06849315068496
2201572,128,204.9140625
2201606,237,144.60759493670886
2201705,166,202.19277108433735
2201739,234,247.1196581196581
2201770,220,36.9
2201804,132,224.62121212121212
2201903,1531,200.27237099934683
2201919,178,199.56741573033707
2201929,216,307.037037037037
2201945,224,154.58482142857142
2201960,219,132.8538812785388
2201988,151,156.09271523178808
2202000,532,148.5751879699248
2202026,249,195.02008032128515
2202059,305,122.03934426229509
2202075,76,334.25
2202083,204,262.26960784313724
2202091,177,203.23728813559322
2202109,203,160.04433497536945
2202117,163,108.25766871165644
2202133,209,155.4976076555024
2202174,254,73.55118110236221
2202208,2688,238.35294117647058
2202251,147,223.5578231292517
2202307,1508,181.94230769230768
2202406,348,141.7844827586207
2202455,201,242.07960199004975
2202505,361,126.44598337950139
2202539,185,238.96216216216217
2202554,207,218.5024154589372
2202604,546,184.62454212454213
2202653,143,144.62237762237763
2202703,1704,122.96537558685446
2202711,176,168.2159090909091
2202729,211,204.14218009478674
2202737,96,173.73958333333334
2202752,290,260.5206896551724
2202778,246,174.6382113821138
2202802,221,219.47058823529412
2202851,171,181.58479532163742
2202901,1540,286.9077922077922
2203008,223,206.62780269058297
2203107,351,231.32193732193733
2203206,352,219.86647727272728
2203230,192,307.59375
2203255,103,196.0
2203271,192,129.49479166666666
2203305,355,205.21408450704226
2203354,196,119.84693877551021
2203404,222,335.47297297297297
2203420,132,193.3560606060606
2203453,369,227.579945799458
2203503,430,273.653488372093
2203602,152,248.28947368421052
2203701,2258,123.71922054915855
