cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade,nome_municipio,uf,municipio,n_eventos_aderentes,valor_total_liberado,tem_historico
2108009,312,163.14102564102564,0.551,0.549,0.554,0.549,32.88,MEDIA,Pastos Bons,MA,,0,,False
2205359,105,137.66666666666666,0.561,0.538,0.513,0.632,32.86,MEDIA,João Costa,PI,,0,,False
2106375,141,151.60992907801418,0.595,0.544,0.647,0.593,32.85,MEDIA,Maranhãozinho,MA,,0,,False
2102200,1338,97.01494768310911,0.607,0.509,0.59,0.723,32.83,MEDIA,Buriti,MA,,0,,False
2107357,273,214.6959706959707,0.54,0.562,0.528,0.531,32.83,MEDIA,Nova Olinda do Maranhão,MA,,0,,False
2202737,96,173.73958333333334,0.543,0.547,0.494,0.588,32.58,MEDIA,Coivaras,PI,,0,,False
2107803,1591,161.47140163419232,0.594,0.543,0.646,0.592,32.58,MEDIA,Parnarama,MA,,0,,False
1502103,5081,119.08195429472023,0.541,0.522,0.487,0.613,32.56,MEDIA,Cametá,PA,,0,,False
2101731,125,126.36,0.6,0.525,0.626,0.648,32.48,MEDIA,Belágua,MA,,0,,False
2201051,221,165.31674208144796,0.643,0.542,0.668,0.72,32.45,MEDIA,Assunção do Piauí,PI,,0,,False
2509404,494,161.38663967611336,0.574,0.54,0.59,0.592,32.42,MEDIA,Mogeiro,PB,,0,,False
2108702,1487,164.08002689979824,0.597,0.541,0.629,0.62,32.42,MEDIA,Pio XII,MA,,0,,False
2202174,254,73.55118110236221,0.547,0.471,0.619,0.55,32.42,MEDIA,Campo Largo do Piauí,PI,,0,,False
2302909,230,243.98260869565212,0.551,0.559,0.521,0.574,32.38,MEDIA,Capistrano,CE,,0,,False
1501907,1374,92.5749636098981,0.532,0.496,0.512,0.587,32.37,MEDIA,Bujaru,PA,,0,,False
2105922,144,74.74305555555556,0.519,0.472,0.599,0.486,32.36,MEDIA,Lagoa do Mato,MA,,0,,False
5100508,216,403.4166666666667,0.479,0.573,0.453,0.412,32.31,MEDIA,Alto Paraguai,MT,,0,,False
2113009,1815,103.36528925619837,0.581,0.505,0.64,0.597,32.29,MEDIA,Vitorino Freire,MA,,0,,False
1502905,2196,116.36520947176685,0.544,0.515,0.552,0.566,32.28,MEDIA,Curuçá,PA,,0,,False
2806305,263,143.42205323193917,0.534,0.53,0.554,0.518,32.27,MEDIA,Santa Luzia do Itanhy,SE,,0,,False
2103257,212,104.09433962264151,0.504,0.505,0.527,0.481,32.25,MEDIA,Cidelândia,MA,,0,,False
2205201,623,121.85232744783306,0.574,0.517,0.63,0.576,32.19,MEDIA,Jaicós,PI,,0,,False
2801702,1200,162.85166666666666,0.552,0.535,0.575,0.545,32.11,MEDIA,Cristinápolis,SE,,0,,False
2100873,170,197.4294117647059,0.581,0.545,0.593,0.605,32.11,MEDIA,Araguanã,MA,,0,,False
2512721,166,120.01204819277108,0.568,0.514,0.599,0.591,32.09,MEDIA,Pedro Régis,PB,,0,,False
2506251,98,100.20408163265306,0.589,0.498,0.631,0.637,32.06,MEDIA,Gado Bravo,PB,,0,,False
2108108,325,137.02461538461537,0.58,0.523,0.634,0.584,32.05,MEDIA,Paulo Ramos,MA,,0,,False
2104503,153,180.44444444444449,0.561,0.539,0.599,0.545,32.03,MEDIA,Governador Archer,MA,,0,,False
2708501,1971,164.4287163876205,0.617,0.534,0.793,0.524,32.03,MEDIA,São Luís do Quitunde,AL,,0,,False
1503309,2844,157.9212376933896,0.582,0.531,0.597,0.619,31.99,MEDIA,Igarapé-Miri,PA,,0,,False
3163003,90,219.03333333333333,0.51,0.545,0.566,0.418,31.85,MEDIA,São José da Safira,MG,,0,,False
2303956,1121,212.99821587867976,0.51,0.543,0.524,0.464,31.81,MEDIA,Chorozinho,CE,,0,,False
1400233,350,233.94285714285715,0.502,0.547,0.512,0.447,31.81,MEDIA,Caroebe,RR,,0,,False
