cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade
3118106,103,274.90291262135923,0.56,0.58,0.585,0.514,33.29,MEDIA
2701209,210,159.53809523809525,0.597,0.555,0.649,0.588,33.28,MEDIA
1717800,196,386.3775510204082,0.596,0.589,0.649,0.551,33.24,MEDIA
1600253,283,50.39929328621909,0.591,0.428,0.628,0.716,33.22,MEDIA
2707206,214,149.98130841121494,0.59,0.55,0.549,0.67,33.21,MEDIA
1503705,2008,240.5542828685259,0.631,0.571,0.722,0.599,33.07,MEDIA
2919108,166,144.84939759036143,0.648,0.545,0.646,0.754,33.06,MEDIA
2201705,166,202.19277108433732,0.513,0.563,0.434,0.543,33.04,MEDIA
2107902,281,155.16370106761565,0.611,0.547,0.692,0.593,32.93,MEDIA
2108009,312,163.14102564102564,0.551,0.549,0.554,0.549,32.88,MEDIA
2205359,105,137.66666666666666,0.561,0.538,0.513,0.632,32.86,MEDIA
2106375,141,151.60992907801418,0.595,0.544,0.647,0.593,32.85,MEDIA
1200302,1500,98.87933333333334,0.639,0.511,0.799,0.607,32.84,MEDIA
2102200,1338,97.01494768310911,0.607,0.509,0.59,0.723,32.83,MEDIA
2107357,273,214.6959706959707,0.54,0.562,0.528,0.531,32.83,MEDIA
1500404,3155,189.95340729001583,0.571,0.555,0.578,0.579,32.76,MEDIA
1301654,190,78.60526315789474,0.555,0.484,0.679,0.503,32.69,MEDIA
1302553,122,188.14754098360652,0.535,0.552,0.504,0.549,32.62,MEDIA
2202737,96,173.73958333333334,0.543,0.547,0.494,0.588,32.58,MEDIA
2107803,1591,161.47140163419232,0.594,0.543,0.646,0.592,32.58,MEDIA
1502103,5081,119.08195429472023,0.541,0.522,0.487,0.613,32.56,MEDIA
1302405,2474,198.1050929668553,0.654,0.552,0.788,0.623,32.48,MEDIA
2101731,125,126.36,0.6,0.525,0.626,0.648,32.48,MEDIA
2201051,221,165.31674208144796,0.643,0.542,0.668,0.72,32.45,MEDIA
2509404,494,161.38663967611336,0.574,0.54,0.59,0.592,32.42,MEDIA
2202174,254,73.55118110236221,0.547,0.471,0.619,0.55,32.42,MEDIA
2108702,1487,164.08002689979824,0.597,0.541,0.629,0.62,32.42,MEDIA
2302909,230,243.98260869565215,0.551,0.559,0.521,0.574,32.38,MEDIA
1501907,1374,92.5749636098981,0.532,0.496,0.512,0.587,32.37,MEDIA
2105922,144,74.74305555555556,0.519,0.472,0.599,0.486,32.36,MEDIA
5100508,216,403.4166666666667,0.479,0.573,0.453,0.412,32.31,MEDIA
2113009,1815,103.36528925619837,0.581,0.505,0.64,0.597,32.29,MEDIA
1502905,2196,116.36520947176685,0.544,0.515,0.552,0.566,32.28,MEDIA
2806305,263,143.42205323193917,0.534,0.53,0.554,0.518,32.27,MEDIA
2103257,212,104.09433962264151,0.504,0.505,0.527,0.481,32.25,MEDIA
2205201,623,121.85232744783306,0.574,0.517,0.63,0.576,32.19,MEDIA
2100873,170,197.4294117647059,0.581,0.545,0.593,0.605,32.11,MEDIA
2801702,1200,162.85166666666666,0.552,0.535,0.575,0.545,32.11,MEDIA
2512721,166,120.01204819277108,0.568,0.514,0.599,0.591,32.09,MEDIA
2506251,98,100.20408163265306,0.589,0.498,0.631,0.637,32.06,MEDIA
2108108,325,137.02461538461537,0.58,0.523,0.634,0.584,32.05,MEDIA
2104503,153,180.44444444444449,0.561,0.539,0.599,0.545,32.03,MEDIA
2708501,1971,164.4287163876205,0.617,0.534,0.793,0.524,32.03,MEDIA
1503309,2844,157.9212376933896,0.582,0.531,0.597,0.619,31.99,MEDIA
1505304,2536,206.51261829653,0.532,0.544,0.514,0.537,31.94,MEDIA
3163003,90,219.03333333333333,0.51,0.545,0.566,0.418,31.85,MEDIA
2303956,1121,212.99821587867976,0.51,0.543,0.524,0.464,31.81,MEDIA
1400233,350,233.94285714285715,0.502,0.547,0.512,0.447,31.81,MEDIA
2102754,204,163.85294117647058,0.584,0.529,0.671,0.553,31.77,MEDIA
2703304,257,151.87548638132296,0.678,0.523,0.795,0.715,31.68,MEDIA
1720101,119,210.69747899159665,0.518,0.539,0.579,0.436,31.61,MEDIA
1200344,221,179.69230769230768,0.589,0.531,0.775,0.461,31.6,MEDIA
1504802,2803,191.0956118444524,0.572,0.534,0.54,0.641,31.59,MEDIA
1300102,280,184.64642857142857,0.569,0.532,0.628,0.547,31.57,MEDIA
1505551,52,317.8076923076923,0.554,0.553,0.63,0.478,31.55,MEDIA
1502608,54,199.46296296296296,0.491,0.535,0.455,0.483,31.53,MEDIA
2924900,120,200.33333333333331,0.56,0.535,0.584,0.56,31.52,MEDIA
1720200,349,173.73352435530086,0.472,0.527,0.468,0.422,31.48,MEDIA
3149952,88,279.02272727272725,0.495,0.547,0.466,0.471,31.45,MEDIA
